0.2,-0.233574718
,
0.4,-0.484098345
,
0.6,-0.550955355
,
0.8,-0.640680313
,
1,-0.737088025
,
1.2,-0.840173006
,
1.4,-0.957247973
,
1.6,-0.983124018
,
1.8,-0.943017602
,
2,-1.01416409
,
2.2,-1.173323631
,
2.4,-1.216545224
,
2.6,-1.388564825
,
2.8,-1.535126686
,
3,-1.498651266
,
3.2,-1.544087768
,
3.4,-1.708648086
,
3.6,-1.692737937
,
3.8,-1.919413328
,
4,-1.813878655
,
4.2,-1.995556712
,
4.4,-2.0806036
,
4.6,-2.203688145
,
4.8,-2.091710567
,
5,-2.120081902
,
5.2,-2.071177721
,
5.4,-2.387340307
,
5.6,-2.40594244
,
5.8,-2.550605536
,
6,-2.510558128
,
6.2,-2.548925161
,
6.4,-2.5537889
,
6.6,-2.863456011
,
6.8,-2.96118021
,
7,-2.996259928
,
7.2,-3.059963703
,
7.4,-3.011509418
,
7.6,-3.15885973
,
7.8,-3.325343609
,
8,-3.368942261
,
8.2,-3.275626898
,
8.4,-3.539383173
,
8.6,-3.775524616
,
8.8,-3.670977354
,
9,-3.593547821
,
9.2,-3.509305954
,
9.4,-3.624104023
,
9.6,-3.772363901
,
9.8,-3.732955933
,
10,-3.874651432
,
10.2,-3.90284729
,
10.4,-3.759523153
,
10.6,-3.94180131
,
10.8,-3.911190271
,
11,-3.802763224
,
11.2,-3.761132002
,
11.4,-3.669570446
,
11.6,-4.158549309
,
11.8,-3.946335554
,
12,-3.811690569
,
12.2,-3.774050951
,
12.4,-3.938226223
,
12.6,-3.931163549
,
12.8,-4.00925684
,
13,-3.886766434
,
13.2,-3.973405361
,
13.4,-3.804355621
,
13.6,-4.099094868
,
13.8,-4.085011959
,
14,-4.102621555
,
14.2,-4.110815048
,
14.4,-4.271722794
,
14.6,-4.194160938
,
14.8,-4.089174271
,
15,-4.160188675
,
15.2,-4.424546242
,
15.4,-4.27477932
,
15.6,-4.284926891
,
15.8,-4.176039219
,
16,-4.242403507
,
16.2,-4.503359318
,
16.4,-4.609854221
,
16.6,-4.284630775
,
16.8,-4.278152466
,
17,-4.299401283
,
17.2,-4.389501095
,
17.4,-4.434962749
,
17.6,-4.301618099
,
17.8,-4.227003098
,
18,-4.313405991
,
18.2,-4.277033329
,
18.4,-4.502653122
,
18.6,-4.632815838
,
18.8,-4.56328392
,
19,-4.87112093
,
19.2,-4.789735794
,
19.4,-4.716167927
,
19.6,-4.641561508
,
19.8,-4.742928982
,
20,-4.99016428
,
20.2,-4.707885265
,
20.4,-4.669030666
,
20.6,-4.95383215
,
20.8,-5.122633457
,
21,-5.304278374
,
21.2,-5.038336277
,
21.4,-4.974329472
,
21.6,-4.840501785
,
21.8,-5.073700428
,
22,-5.125501633
,
22.2,-5.316571712
,
22.4,-5.294800758
,
22.6,-5.284987926
,
22.8,-5.568409443
,
23,-5.437398434
,
23.2,-5.410059452
,
23.4,-5.419523239
,
23.6,-5.57902813
,
23.8,-5.582753658
,
24,-5.549608707
,
24.2,-5.455024242
,
24.4,-5.539529324
,
24.6,-5.762616634
,
24.8,-5.871911526
,
25,-5.811201572
,
25.2,-5.809674263
,
25.4,-5.820513725
,
25.6,-5.818023682
,
25.8,-5.738591194
,
26,-5.501269341
,
26.2,-5.759086132
,
26.4,-6.282467365
,
26.6,-6.365102291
,
26.8,-6.356647491
,
27,-6.077211857
,
27.2,-5.836916447
,
27.4,-6.084527969
,
27.6,-6.71462059
,
27.8,-6.10532856
,
28,-5.875423431
,
28.2,-6.253746986
,
28.4,-6.571620941
,
28.6,-6.004160881
,
28.8,-6.107908249
,
29,-6.837013245
,
29.2,-6.733644009
,
29.4,-6.571386337
,
29.6,-6.683143616
,
29.8,-7.088594437
,
30,-6.814493179
,
30.2,-6.625376701
,
30.4,-6.911608219
,
30.6,-6.58397007
,
30.8,-7.126629829
,
31,-6.904492855
,
31.2,-6.501995564
,
31.4,-7.226211071
,
31.6,-7.01345253
,
31.8,-6.708565235
,
32,-7.048860073
,
32.2,-6.977166653
,
32.4,-6.875042439
,
32.6,-6.511886597
,
32.8,-7.026286125
,
33,-7.009086132
,
33.2,-6.33975172
,
33.4,-6.425545692
,
33.6,-6.97339201
,
33.8,-7.2275424
,
34,-7.013718128
,
34.2,-6.830024242
,
34.4,-7.249056816
,
34.6,-7.141981125
,
34.8,-6.956079483
,
35,-6.496764183
,
35.2,-6.984529495
,
35.4,-7.071108818
,
35.6,-6.755497932
,
35.8,-6.919755936
,
36,-7.217407703
,
36.2,-7.048799992
,
36.4,-7.324666023
,
36.6,-7.676113605
,
36.8,-7.304371834
,
37,-7.582436562
,
37.2,-8.068259239
,
37.4,-8.062813759
,
37.6,-7.640610695
,
37.8,-7.960830212
,
38,-7.59981823
,
38.2,-7.450041294
,
38.4,-7.840976238
,
38.6,-7.99962616
,
38.8,-7.339600563
,
39,-7.926952362
,
39.2,-8.493844032
,
39.4,-7.820272446
,
39.6,-7.586369514
,
39.8,-8.128423691
,
40,-7.889474869
