Scan Address:,600,,,digital = no pin,analog=pin out,grouped = make array out of it,,,,,,,,,,,,,,,,,
Prefix:,,,,,,,,,,,,,,,,,,,,,,,
Channels,4,,,,,,,,,,,,,,,,,,,,,,
Chain Size,608,,,,,,,,,,,,,,,,,,,,,,
Chain Direction,in,,,in = to chip,out = from chip,,,,Decimal,,,,,,,,,,,,,,
,Don't change me:,Don't change me:,,,Don't change me:,Don't change me:,,,Nominal,,,,,,,,,,,,,,
,Register Name,Width,Bits,Wires,Signal Type,Bus-inator,Bus Width,Bus Addr,Value:,Description:,,Scan Order: <- MSB of First Register : LSB of Last Bit ->,,,,,,,,,,,
First,,,,,,,,,,,,,,,,,,,,,,,
592,Dummy,16,16,,,,,,0,,,,,,,,,,,,,,
585,DCOC_CTRL_Q,7,7,,,,,,0,,,,,,,,,,,,,,
578,DCOC_CTRL_I,7,7,,,,,,0,,,,,,,,,,,,,,
572,IB_CMIN_CTRL_Q,6,6,,,,,,29,,,,,,,,,,,,,,
566,IB_AMP2_CTRL_Q,6,6,,,,,,29,,,,,,,,,,,,,,
560,IB_VCM_REF_CTRL_Q,6,6,,,,,,57,,,,,,,,,,,,,,
558,IB_CMFB_EN_QE,2,2,,,,,,1,,,,,,,,,,,,,,
555,IDCOC_EN_QE,3,3,,,,,,7,,,,,,,,,,,,,,
554,CMFB_EN_QE,1,1,,,,,,1,,,,,,,,,,,,,,
553,DCOC_SN_QE,1,1,,,,,,0,,,,,,,,,,,,,,
552,DCOC_SP_QE,1,1,,,,,,0,,,,,,,,,,,,,,
520,TX_VOLT_CTRL_QE,32,32,,,,,,969683168,,,,,,,,,,,,,,
488,TX_VOLT_CTRL_IE,32,32,,,,,,118240156,,,,,,,,,,,,,,
487,DCOC_SP_IE,1,1,,,,,,0,,,,,,,,,,,,,,
486,DCOC_SN_IE,1,1,,,,,,0,,,,,,,,,,,,,,
485,CMFB_EN_IE,1,1,,,,,,1,,,,,,,,,,,,,,
482,IDCOC_EN_IE,3,3,,,,,,7,,,,,,,,,,,,,,
480,IB_CMFB_EN_IE,2,2,,,,,,1,,,,,,,,,,,,,,
474,IB_PA_S3_CTRL_I,6,6,,,,,,0,,,,,,,,,,,,,,
468,IB_PA_S2_CTRL_I,6,6,,,,,,0,,,,,,,,,,,,,,
462,IB_PA_S1_CTRL_I,6,6,,,,,,0,,,,,,,,,,,,,,
456,IB_VCM_REF_CTRL_I,6,6,,,,,,39,,,,,,,,,,,,,,
450,IB_AMP2_CTRL_I,6,6,,,,,,46,,,,,,,,,,,,,,
444,IB_CMIN_CTRL_I,6,6,,,,,,46,,,,,,,,,,,,,,
437,DCOC_CTRL_Q,7,7,,,,,,0,,,,,,,,,,,,,,
430,DCOC_CTRL_I,7,7,,,,,,0,,,,,,,,,,,,,,
424,IB_CMIN_CTRL_Q,6,6,,,,,,29,,,,,,,,,,,,,,
418,IB_AMP2_CTRL_Q,6,6,,,,,,29,,,,,,,,,,,,,,
412,IB_VCM_REF_CTRL_Q,6,6,,,,,,57,,,,,,,,,,,,,,
410,IB_CMFB_EN_QE,2,2,,,,,,1,,,,,,,,,,,,,,
407,IDCOC_EN_QE,3,3,,,,,,7,,,,,,,,,,,,,,
406,CMFB_EN_QE,1,1,,,,,,0,,,,,,,,,,,,,,
405,DCOC_SN_QE,1,1,,,,,,0,,,,,,,,,,,,,,
404,DCOC_SP_QE,1,1,,,,,,0,,,,,,,,,,,,,,
372,TX_VOLT_CTRL_QE,32,32,,,,,,969683168,,,,,,,,,,,,,,
340,TX_VOLT_CTRL_IE,32,32,,,,,,118240156,,,,,,,,,,,,,,
339,DCOC_SP_IE,1,1,,,,,,0,,,,,,,,,,,,,,
338,DCOC_SN_IE,1,1,,,,,,0,,,,,118240156,,,,,,,,,
337,CMFB_EN_IE,1,1,,,,,,0,,,,,,,,,,,,,,
334,IDCOC_EN_IE,3,3,,,,,,7,,,,,,,,,,,,,,
332,IB_CMFB_EN_IE,2,2,,,,,,1,,,,,,,,,,,,,,
326,IB_PA_S3_CTRL_I,6,6,,,,,,0,,,,,,,,,,,,,,
320,IB_PA_S2_CTRL_I,6,6,,,,,,0,,,,,,,,,,,,,,
314,IB_PA_S1_CTRL_I,6,6,,,,,,0,,,,,,,,,,,,,,
308,IB_VCM_REF_CTRL_I,6,6,,,,,,39,,,,,,,,,,,,,,
302,IB_AMP2_CTRL_I,6,6,,,,,,46,,,,,,,,,,,,,,
296,IB_CMIN_CTRL_I,6,6,,,,,,46,,,,,,,,,,,,,,
289,DCOC_CTRL_Q,7,7,,,,,,112,,16,,,,,,,,,,,,
282,DCOC_CTRL_I,7,7,,,,,,96,,80,40,112,,,,,,,,,,
276,IB_CMIN_CTRL_Q,6,6,,,,,,29,,,,,,,,,,,,,,
270,IB_AMP2_CTRL_Q,6,6,,,,,,29,,,,,,,,,,,,,,
264,IB_VCM_REF_CTRL_Q,6,6,,,,,,57,,,,,,,,,,,,,,
262,IB_CMFB_EN_QE,2,2,,,,,,1,,,,,,,,,strenghten peaking,,,,,
259,IDCOC_EN_QE,3,3,,,,,,1,,,,,,,,,,4279200000,,,,
258,CMFB_EN_QE,1,1,,,,,,1,,,,,,,,,,972878079,,,,
257,DCOC_SN_QE,1,1,,,,,,0,,,,,,,,,,,,,,
256,DCOC_SP_QE,1,1,,,,,,1,,,,,,,,,,,,,,
224,TX_VOLT_CTRL_QE,32,32,,,,,,1108107519,,,,,,,,,,,,,,
192,TX_VOLT_CTRL_IE,32,32,,,,,,4278595650,,,,,,,,,,,,,,
191,DCOC_SP_IE,1,1,,,,,,1,,,4278590364,,,,,,,970481919,,,,
190,DCOC_SN_IE,1,1,,,,,,0,,,970481919,,,118240156,,,,4278600000,,,,
189,CMFB_EN_IE,1,1,,,,,,1,,,,,,,,,,969683199,,,,
186,IDCOC_EN_IE,3,3,,,,,,4,,,,,,,,,,4279000000,,,,
184,IB_CMFB_EN_IE,2,2,,,,,,1,,,,,,,,,,,,,,
178,IB_PA_S3_CTRL_I,6,6,,,,,,39,,39,,,,,,,,,,,,
172,IB_PA_S2_CTRL_I,6,6,,,,,,27,,27,4278988932,,,,,,,4278300000,,,,
166,IB_PA_S1_CTRL_I,6,6,,,,,,27,,27,554447103,,,,,,,969949439,,,,
160,IB_VCM_REF_CTRL_I,6,6,,,,,,39,,,,,,,,,,,,,,
154,IB_AMP2_CTRL_I,6,6,,,,,,46,,,,,,141,16,8.8125,,,,,,
148,IB_CMIN_CTRL_I,6,6,,,,,,46,,,,,,,,,,,,,,
141,DCOC_CTRL_Q,7,7,,,,,,0,,,,,,,,,,,,,,
134,DCOC_CTRL_I,7,7,,,,,,50,,,,,,,,,,,,default,,
128,IB_CMIN_CTRL_Q,6,6,,,,,,29,,,,,,,,969683199,,,,969683199,,
122,IB_AMP2_CTRL_Q,6,6,,,,,,29,,,,,,,,4278989724,,,,4278989724,,
116,IB_VCM_REF_CTRL_Q,6,6,,,,,,57,,,,,,,,,,,,,,
114,IB_CMFB_EN_QE,2,2,,,,,,1,,,,,,,,,,,,,,
111,IDCOC_EN_QE,3,3,,,,,,7,,,,,,,,,,,,,,
110,CMFB_EN_QE,1,1,,,,,,1,,,,,,,,,,,,weaken peaking,,
109,DCOC_SN_QE,1,1,,,,,,0,,,,,,,,,,,,970481919,,
108,DCOC_SP_QE,1,1,,,,,,0,,,,,,2.82,135.36,-3.64,,,,4278590364,,
76,TX_VOLT_CTRL_QE,32,32,,,,,,969683168,,,,,,,,,,,,,,
44,TX_VOLT_CTRL_IE,32,32,,,,,,118240156,,,,,,,,,,,,,,
43,DCOC_SP_IE,1,1,,,,,,0,,,,,,,,,,,,reduce gain,,
42,DCOC_SN_IE,1,1,,,,,,0,,,,,,,,,,,,,,
41,CMFB_EN_IE,1,1,,,,,,1,,,,2.815,135.12,-3.88,,,,,,554447103,,
38,IDCOC_EN_IE,3,3,,,,,,7,,,,,,,,,,,,4278988932,,
36,IB_CMFB_EN_IE,2,2,,,,,,1,,,,,,,,,,,,,,
30,IB_PA_S3_CTRL_I,6,6,,,,,,0,,,,,,,,,,,,,,
24,IB_PA_S2_CTRL_I,6,6,,,,,,0,,,,,,,,,,,,,,
18,IB_PA_S1_CTRL_I,6,6,,,,,,0,,,,,,,,,,,,strengthen gain,,
12,IB_VCM_REF_CTRL_I,6,6,,,,,,39,100011,35,,,,,,,,,,972878079,,
6,IB_AMP2_CTRL_I,6,6,,,,,,46,11010,26,,,,,,,,,,4279189404,,
0,IB_CMIN_CTRL_I,6,6,,,,,,46,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,7,weaken BW ctrl for second BBamp + gain reduce1,
,,,,,,,,,,,,,,,,,,,,,,s_config_qmixer_allon,1662533887
,,,,,,,,,,,,,,,,,,,,,,s_config_imixer_allon,4278327494
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,17.125,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.815,135.12,-3.88,,,,,,
,,,,,,,,,,,,,,,,133.12,-5.88,,,,,,
