Index, Gain, Phase,,,,,,
0,0,0,,0,0,0,1,10000
1,0,3000,,0,0,0,1,10000
2,0,6000,,0,0,0,1,10000
3,0,9000,,0,0,0,1,10000
4,0,12000,,7.7,1401.742222,1401,0.5,5000
5,0,15000,,-204.3,-37191.68,-37192,1.24,12400
6,0,18000,,-212.8,-38739.05778,-38740,2.46,24600
7,0,21000,,-208.8,-38010.88,-38011,1.97,19700
8,0,24000,,-205,-37319.11111,-37320,2.06,20600
9,0,27000,,-191.3,-34825.10222,-34826,2.16,21600
10,0,30000,,-169,-30765.51111,-30766,2.02,20200
11,0,33000,,-142,-25850.31111,-25851,0.98,9800
12,0,36000,,-116,-21117.15556,-21118,0.4,4000
13,0,39000,,-62.8,-11432.39111,-11433,1.03,10300
14,0,42000,,3,546.1333333,546,2.16,21600
15,0,45000,,3,546.1333333,546,2.16,21600
16,0,48000,,8.2,1492.764444,1492,2.24,22400
17,0,51000,,-13.2,-2402.986667,-2403,1.26,12600
18,0,54000,,-31,-5643.377778,-5644,0.89,8900
19,0,57000,,0,0,0,1,10000
