scan_address,148
domain,TX
channels,2
chain size,148
chain direction,in
LSB_Index,Signal_Name,Bit_Width,Decimal_Value,Bits,Comment
141,DCOC_CTRL_Q,7,0,0000000,
134,DCOC_CTRL_I,7,0,0000000,
128,IB_CMIN_CTRL_Q,6,7,000111,
122,IB_AMP2_CTRL_Q,6,22,010110,
116,IB_VCM_REF_CTRL_Q,6,17,010001,
114,IB_CMFB_EN_QE,2,2,10,
111,IDCOC_EN_QE,3,1,001,
110,CMFB_EN_QE,1,1,1,
109,DCOC_SN_QE,1,0,0,
108,DCOC_SP_QE,1,0,0,
76,TX_VOLT_CTRL_QE,32,952148127,00111000110000001010000010011111,
44,TX_VOLT_CTRL_IE,32,4177855260,11111001000001010000001100011100,
43,DCOC_SP_IE,1,0,0,
42,DCOC_SN_IE,1,0,0,
41,CMFB_EN_IE,1,1,1,
38,IDCOC_EN_IE,3,4,100,
36,IB_CMFB_EN_IE,2,1,01,
30,IB_PA_S3_CTRL_I,6,3,000011,606mV
24,IB_PA_S2_CTRL_I,6,1,000001,505mV
18,IB_PA_S1_CTRL_I,6,1,000001,621mV
12,IB_VCM_REF_CTRL_I,6,34,100010,
6,IB_AMP2_CTRL_I,6,26,011010,
0,IB_CMIN_CTRL_I,6,56,111000,
